name,type
Boldrockhardcider,Supermarket_chain
Lunchables,Supermarket_chain
Crush,Supermarket_chain
Camerons,Supermarket_chain
Tacamademonio,Fastfood
Creemore,Supermarket_chain
Bucwheats,Supermarket_chain
Tresagaves,Supermarket_chain
Pizzaschmizza,Fastfood
Coffeeheaven,Supermarket_chain
Robust,Supermarket_chain
Bifi,Supermarket_chain
Snotshots,Supermarket_chain
Angryorchard,Supermarket_chain
Harvestcrunch,Supermarket_chain
Nestlecornflakes,Supermarket_chain
Branflakes,Supermarket_chain
Cheaders,Supermarket_chain
Pucko,Supermarket_chain
Uccueshimacoffeeco,Supermarket_chain
Luzhoulaojiao2,Supermarket_chain
Johnnyrockets,Fastfood
Arette,Supermarket_chain
Newportcreamery1,Fastfood
Rjrockers,Supermarket_chain
Sarriscandies,Supermarket_chain
Robinsdonuts,Fastfood
Papaguiseppi,Fastfood
Tacobueno,Fastfood
Barsol,Supermarket_chain
Themeltingpot,Fastfood
Bajafresh,Fastfood
Blenzcoffee2,Supermarket_chain
Anglobubbly,Supermarket_chain
Crispincider,Supermarket_chain
Becel,Supermarket_chain
Wiesmann,Supermarket_chain
Rickardsdark,Supermarket_chain
Gingerale,Supermarket_chain
Honeysmacks,Supermarket_chain
Cocosette,Supermarket_chain
Cheerios,Supermarket_chain
Carinositaliangrill,Fastfood
Sanpellegrino,Supermarket_chain
Chenkeming2,Supermarket_chain
Papamurphystakenbakepizza,Fastfood
Franconia,Supermarket_chain
Peptamen,Supermarket_chain
Weightwatchers,Supermarket_chain
Nutnhoney,Supermarket_chain
Lasaltena,Fastfood
Pepsilime,Supermarket_chain
Yurun,Supermarket_chain
Mcdonalds,Fastfood
Bisquick,Supermarket_chain
Redrosetea,Supermarket_chain
Texanbar,Supermarket_chain
Sasini,Supermarket_chain
Giolitti,Fastfood
Cocoapuffs,Supermarket_chain
Lambweston,Supermarket_chain
Frostedshreddedwheat,Supermarket_chain
Joescrabshack,Fastfood
Kleinerfeigling,Supermarket_chain
Stumptowncoffeeroasters,Supermarket_chain
Tartntinys,Fastfood
Cassanospizzaking,Fastfood
Steaknshake,Fastfood
Aromaespressobar,Supermarket_chain
Mountainmikespizza,Fastfood
Oldelpaso,Supermarket_chain
Pickupstix,Fastfood
Marcospizza,Fastfood
Cailler,Supermarket_chain
Countchocula,Supermarket_chain
Popeyeschickenbiscuits,Fastfood
Qdobamexicangrill,Fastfood
Capecodpotatochips,Supermarket_chain
Saimaza,Supermarket_chain
Capncrunchcrunchberries,Supermarket_chain
Haagendazs,Supermarket_chain
Applezings,Supermarket_chain
Carlingblacklabel,Supermarket_chain
Bucanero,Supermarket_chain
Bubbaloo,Supermarket_chain
Lucozade,Supermarket_chain
Cheezels,Supermarket_chain
Tignanello,Supermarket_chain
Elchico,Fastfood
Mrpizza,Fastfood
Russianriver,Supermarket_chain
Chickeninabiskit,Supermarket_chain
Erikli,Supermarket_chain
Wandashan,Supermarket_chain
Brighamsicecream,Fastfood
Charleysgrilledsubs,Fastfood
Chickenexpress,Fastfood
Chadao,Supermarket_chain
Cafehag,Supermarket_chain
Cigarcity,Supermarket_chain
Raisingcaneschickenfingers,Fastfood
Suerdieck,Supermarket_chain
Hpbulmer2,Supermarket_chain
Tullyscoffee,Supermarket_chain
Swissmiss,Supermarket_chain
Cavalier,Supermarket_chain
Bigturk,Supermarket_chain
Vanhoutte,Supermarket_chain
Berthillon,Fastfood
Chocomel,Supermarket_chain
Beaulieu,Supermarket_chain
Henniez,Supermarket_chain
Maxibon,Supermarket_chain
Rohrbach,Supermarket_chain
Brustersicecream,Fastfood
Havatampa,Supermarket_chain
Maudsicecream,Fastfood
Cheddarie,Supermarket_chain
Bullyboydistillers,Supermarket_chain
Fruitbrute,Supermarket_chain
Peppespizza,Fastfood
Carupano,Supermarket_chain
Smint,Supermarket_chain
Pepsijazz,Supermarket_chain
Xifeng,Supermarket_chain
Wienerschnitzel,Fastfood
Hardees,Fastfood
Leviennois,Supermarket_chain
Ginospizzaandspaghetti,Fastfood
Portillos,Fastfood
Berryburstcheerios,Supermarket_chain
Nandos,Fastfood
85cbakerycafe,Fastfood
Galak,Supermarket_chain
Benedettispizza,Fastfood
Ingmanicecream,Fastfood
Bearnos,Fastfood
Starnou,Supermarket_chain
Rayspizza,Fastfood
Strawhatpizza,Fastfood
Toxicwaste,Supermarket_chain
Champpsamericana,Fastfood
Cariboucoffee,Fastfood
Cachantun,Supermarket_chain
Portcityjava,Fastfood
Bigmamasausage,Fastfood
Copella,Supermarket_chain
Pipsqueak,Supermarket_chain
Cornnuts,Supermarket_chain
Californiafreeformer,Supermarket_chain
Itsagrindcoffeehouse,Fastfood
Mulata,Supermarket_chain
Thecapitalgrille,Fastfood
Bostonpizza,Fastfood
Cruztequila,Supermarket_chain
Eltacotote,Fastfood
Frankpepepizzerianapoletana,Fastfood
Warburtons,Supermarket_chain
241pizza,Fastfood
Sabraliqueur,Supermarket_chain
Wolverine,Supermarket_chain
Chipsmore,Supermarket_chain
Cocoakrispies,Supermarket_chain
Cartenoire,Supermarket_chain
Bennigans,Fastfood
Smokeybones,Fastfood
Stroh,Supermarket_chain
Mccoyscrisps,Supermarket_chain
Chenkeming1,Supermarket_chain
Hornimans,Supermarket_chain
Sheetz,Fastfood
Angelamia,Fastfood
Bakerssquare,Fastfood
Icantbelieveitsnotbutter,Supermarket_chain
Sanquan,Supermarket_chain
Ristretto,Supermarket_chain
Gerber,Supermarket_chain
Skyy,Supermarket_chain
Ricechex,Supermarket_chain
Chocolatechex,Supermarket_chain
Miloshamburgers,Fastfood
Slotts,Supermarket_chain
Applecinnamonchex,Supermarket_chain
Fruitycheerios,Supermarket_chain
Crunch,Supermarket_chain
Pizzapizza,Fastfood
Lagunitas,Supermarket_chain
Caffeumbria,Supermarket_chain
Cinnamonminibuns,Supermarket_chain
Newportcreamery2,Fastfood
Freihofers,Supermarket_chain
Humdinger,Supermarket_chain
Laffytaffy,Supermarket_chain
Pennstationrestaurant,Fastfood
Berrykrispies,Supermarket_chain
Eastofchicagopizza,Fastfood
Mondaine,Supermarket_chain
Supligen,Supermarket_chain
Minties,Supermarket_chain
Lenders,Supermarket_chain
Zjsexpress,Supermarket_chain
Brummelbrown,Supermarket_chain
Californiatortilla,Fastfood
Hjheinz,Supermarket_chain
Eukanuba,Supermarket_chain
Cows,Supermarket_chain
Taoranju,Supermarket_chain
Kibon,Supermarket_chain
Maarud,Supermarket_chain
Chocolatecheerios,Supermarket_chain
Caffeluxxe,Supermarket_chain
Lalechera,Supermarket_chain
Canadadry,Supermarket_chain
Krupnik,Supermarket_chain
Bama,Supermarket_chain
Homey,Supermarket_chain
Captainmorgan,Supermarket_chain
Westonscider,Supermarket_chain
Zhoujunji,Supermarket_chain
Cheesybite,Supermarket_chain
Certs,Supermarket_chain
Viruvalge,Supermarket_chain
Matusalem,Supermarket_chain
Topperspizza,Fastfood
Theoriginalpancakehouse,Fastfood
Furstbismarck,Fastfood
Gladiatorcycle,Fastfood
Marmite,Supermarket_chain
Carrabbasitaliangrill,Fastfood
Penguinmints,Supermarket_chain
Eggbeaters,Supermarket_chain
Carvelicecream,Fastfood
Cocopops,Supermarket_chain
Chatime,Fastfood
Winiary,Supermarket_chain
Oberweisdairy2,Supermarket_chain
Oberweisdairy1,Supermarket_chain
Bewleys,Supermarket_chain
Widmerbrothers,Supermarket_chain
Longhornsteakhouse,Fastfood
Nesvita,Supermarket_chain
Arrowrootbiscuits,Supermarket_chain
Philadelphia,Fastfood
Bearnaked,Fastfood
Cadwaladersicecream,Fastfood
Imperialmargarine,Supermarket_chain
Eldorado,Supermarket_chain
Biggbycoffee,Supermarket_chain
Chocapic,Supermarket_chain
Fudgeeo,Supermarket_chain
Chronictacos1,Fastfood
Tonyromas,Fastfood
Cinnamongrahams,Fastfood
Leesfamousrecipechicken,Fastfood
Montanamikes,Fastfood
Huntssnackpack,Fastfood
Caffebene,Fastfood
Prezzo,Fastfood
Marshmallowmateys,Fastfood
Edencheese,Supermarket_chain
Eatzis,Fastfood
Marketpantry,Supermarket_chain
Innoutburger,Fastfood
Applejacks,Supermarket_chain
Pollocampero,Supermarket_chain
Pizzeriaventi,Fastfood
Pomegreat,Supermarket_chain
Cili,Supermarket_chain
Bacardi,Supermarket_chain
Readybrek,Supermarket_chain
Bundaberg,Supermarket_chain
Smirnoff,Supermarket_chain
Yili,Supermarket_chain
Generalmills,Supermarket_chain
Chex,Supermarket_chain
Nestle,Supermarket_chain
Timothysworldcoffee,Supermarket_chain
Hellpizza,Fastfood
Anjiwhitetea,Supermarket_chain
Luzhoulaojiao1,Supermarket_chain
Gimmecoffee,Supermarket_chain
Halfpints,Supermarket_chain
Cicispizza,Fastfood
Titos,Supermarket_chain
Ecodelosandes,Supermarket_chain
Coffeerepublic,Supermarket_chain
Waynescoffee,Supermarket_chain
Fudgsicle,Supermarket_chain
Mutong,Supermarket_chain
Hengshuilaobaigan,Supermarket_chain
Whichwich,Fastfood
Wheatstax,Supermarket_chain
Onthebordermexicangrillcantina,Fastfood
Cinnamontoastcrunch,Supermarket_chain
Aperol,Supermarket_chain
Covergirl,Supermarket_chain
Chocola,Supermarket_chain
Newzealandnatural2,Supermarket_chain
Chexmix,Supermarket_chain
Coffeebeanery,Supermarket_chain
Chewits,Supermarket_chain
Crunchynut,Supermarket_chain
Queirolo,Supermarket_chain
Bushells,Supermarket_chain
Runts,Supermarket_chain
Tacotime,Supermarket_chain
Xiaonanguo,Supermarket_chain
Bravocucinaitaliana,Fastfood
Tassimo,Supermarket_chain
Ronzacapa,Supermarket_chain
Chipsahoy,Supermarket_chain
Papaginos,Fastfood
Luhua,Supermarket_chain
Cheesenips,Supermarket_chain
Ashridgecider,Supermarket_chain
Johnsincrediblepizza,Fastfood
Svelty,Supermarket_chain
Frostedcheerios,Supermarket_chain
Lunazul,Supermarket_chain
Shmaltz,Supermarket_chain
Bojanglesfamouschickennbiscuits,Fastfood
Amtcoffee,Supermarket_chain
Coffeemate,Supermarket_chain
Mariecallenders,Supermarket_chain
7up,Supermarket_chain
Appletiser,Supermarket_chain
Quorn,Supermarket_chain
Carrows,Supermarket_chain
Arcaffe,Supermarket_chain
Cheeseburgerinparadise,Fastfood
Thomy,Supermarket_chain
Miracoli,Supermarket_chain
Cabowabo,Supermarket_chain
Viladrau,Supermarket_chain
Ihop,Fastfood
Honeynutcheerios,Supermarket_chain
Glidercider,Supermarket_chain
Cafehillel,Supermarket_chain
Montecruz,Supermarket_chain
Tudorcrisps,Supermarket_chain
Kotipizza,Fastfood
Chefboyardee,Supermarket_chain
Biggmixx,Supermarket_chain
Chivasregal,Supermarket_chain
Krave,Supermarket_chain
Portofsubs,Fastfood
Walkerslites,Supermarket_chain
Puffs,Supermarket_chain
Hellmanns,Supermarket_chain
Chiffonmargarine,Supermarket_chain
Booberry,Supermarket_chain
Silvergulch,Supermarket_chain
Huntbrotherspizza,Fastfood
Friendlys,Fastfood
Cascadianfarm,Supermarket_chain
Ledopizza,Fastfood
Upslope,Supermarket_chain
Ragu,Supermarket_chain
Candyman,Supermarket_chain
Tacojohns,Fastfood
Chocolateluckycharms,Supermarket_chain
Gabrielpizza,Fastfood
Phileasfogg,Supermarket_chain
Espressovivace,Supermarket_chain
Keglevich,Supermarket_chain
Tenwowfood,Supermarket_chain
Lapperts,Supermarket_chain
Chuckarama,Supermarket_chain
Honeymaid,Supermarket_chain
Vladivar,Supermarket_chain
Molsonexel,Supermarket_chain
Wufangzhai,Supermarket_chain
Rosatis,Supermarket_chain
Trungnguyen,Supermarket_chain
Laporchetta,Supermarket_chain
Huntkey,Supermarket_chain
Aquacarpatica,Supermarket_chain
Lanchoo,Supermarket_chain
Thecoffeebeantealeaf,Fastfood
Maggimasalanoodles,Fastfood
Ricoffy,Supermarket_chain
Colectivocoffeeroasters,Fastfood
Gales,Supermarket_chain
Espolon,Supermarket_chain
Roundtablepizza,Fastfood
Buzzblasts,Fastfood
Coffeetime,Fastfood
Aromacafe,Fastfood
Beersofstone,Supermarket_chain
Chivas,Supermarket_chain
Heinzbakedbeans,Fastfood
Amysicecreams,Fastfood
Mazzios,Fastfood
Maggi,Supermarket_chain
Guifaxiangshibajie,Fastfood
Aubonpain,Fastfood
Breathsavers,Supermarket_chain
Honeygraham,Supermarket_chain
Guinness,Supermarket_chain
Teavana,Fastfood
Russosnewyorkpizzeria,Fastfood
Rosarita,Supermarket_chain
Joemuggs,Fastfood
Hubbabubba,Supermarket_chain
Grapette,Supermarket_chain
Crackerjack,Supermarket_chain
Nestlemilkchocolate,Fastfood
Nemiroff,Supermarket_chain
Quickchek,Fastfood
Rubytuesday,Fastfood
Cinnamonchex,Fastfood
Rutters,Fastfood
Bonpari,Supermarket_chain
Skylinechili,Fastfood
Stevesicecream,Fastfood
Rhumbarbancourt,Supermarket_chain
Sahnenuss,Supermarket_chain
Toscaninis,Fastfood
Peiweiasiandiner,Fastfood
Plochmans,Supermarket_chain
Bostonmarket,Fastfood
Hotpockets,Fastfood
Piscoporton,Supermarket_chain
Piscocapel,Supermarket_chain
Millersalehouse,Fastfood
Auntieannes2,Fastfood
Colacao,Supermarket_chain
Hollyscoffee,Fastfood
Shuijingfang,Supermarket_chain
Gardettos,Supermarket_chain
Penpont,Supermarket_chain
Actii,Supermarket_chain
Manwich,Fastfood
Wafflehouse,Fastfood
Tazachocolate,Supermarket_chain
Ciboespresso,Fastfood
Brotherscider,Supermarket_chain
Bubblicious,Supermarket_chain
Yonho2,Supermarket_chain
Blackangussteakhouse,Fastfood
Coolwhip,Supermarket_chain
Youyou,Supermarket_chain
Guigoz,Supermarket_chain
Bicerin,Supermarket_chain
Caffecova,Supermarket_chain
Marsmuffin,Fastfood
Lizano,Supermarket_chain
Gleegum,Supermarket_chain
Smuttynose,Fastfood
Chocolatesurpresa,Supermarket_chain
Irnbrubar,Supermarket_chain
Handelshomemadeicecreamyogurt,Fastfood
Molsonbrador,Fastfood
Anthonyspizza,Fastfood
Hudsonscoffee1,Fastfood
Applejacksgliders,Fastfood
Eegees,Fastfood
Mikelcoffeecompany,Fastfood
Fourstarpizza,Fastfood
Lubys,Fastfood
Bullseyebarbecue,Fastfood
Kichesippi2,Fastfood
Frigor,Supermarket_chain
Tequiladonweber,Supermarket_chain
Chickentonight,Fastfood
Chamyto,Supermarket_chain
Eljimador,Supermarket_chain
Bournvita,Supermarket_chain
Holgate,Supermarket_chain
Valiojaatelo,Fastfood
Sugarwafers,Supermarket_chain
Horlicks,Supermarket_chain
Rickardsred,Supermarket_chain
Catchow,Supermarket_chain
Freddysfrozencustardsteakburgers,Fastfood
Bettercheddars,Supermarket_chain
Chocos,Supermarket_chain
Mactarnahans,Supermarket_chain
Mcalistersdeli,Fastfood
Beneful,Supermarket_chain
Lollicupcoffeetea,Fastfood
Lightlife,Supermarket_chain
Ohhenry,Supermarket_chain
Frenchtoastcrunch,Fastfood
Breakfastwithbarbie,Fastfood
Cafeabrasileira,Fastfood
Magginoodles,Fastfood
Ruffles,Fastfood
Chevysfreshmex,Fastfood
Cocacola,Supermarket_chain
Bawls,Supermarket_chain
Insomniacoffeecompany,Fastfood
Caffepascucci,Fastfood
Chewylouie,Supermarket_chain
Razzledazzlericekrispies,Fastfood
Pizzacorner,Fastfood
Mellowmushroom,Fastfood
Hamburgerhelper,Fastfood
Rolo,Supermarket_chain
Perkinsrestaurantandbakery,Fastfood
Hobnobs,Supermarket_chain
Powdereddonutz,Fastfood
Cornflakes,Fastfood
Showbizpizzaplace,Fastfood
Magnersirish,Supermarket_chain
Captainds,Fastfood
Carlosv,Supermarket_chain
Jusrol,Supermarket_chain
Wanchaiferry,Supermarket_chain
Carnation,Supermarket_chain
Honeynutcornflakes,Fastfood
Treets,Supermarket_chain
Taixiang,Supermarket_chain
Heineken,Supermarket_chain
Sprinklespangles,Fastfood
Longjohnsilvers,Fastfood
Carling,Supermarket_chain
Braums,Fastfood
Raisinnutbran,Fastfood
Toastedcinnamonsquares,Fastfood
Maltesers,Supermarket_chain
Labarberie,Supermarket_chain
Peterpiperpizza,Fastfood
Xinghualou,Supermarket_chain
Bocaburger,Fastfood
Hpbulmer1,Supermarket_chain
Backyardburgers,Fastfood
Cherry7up,Supermarket_chain
Robeks,Supermarket_chain
Vikingfjord,Supermarket_chain
Fruchocs,Supermarket_chain
Honeynuttoastyos,Fastfood
Cheezwhiz,Supermarket_chain
Vascolet,Supermarket_chain
Raisinbrancrunch,Fastfood
Eatnpark,Fastfood
Growersdirect,Supermarket_chain
Cocio,Supermarket_chain
Frostyos,Supermarket_chain
Wheatchex,Fastfood
Luzhoulaojiao3,Supermarket_chain
Williamsfreshcafe,Fastfood
Popsecret,Fastfood
Gevalia,Supermarket_chain
Caffenero,Fastfood
Lobethalbierhaus,Supermarket_chain
Reginapizzeria,Fastfood
Highlandspring,Supermarket_chain
Waffelos,Supermarket_chain
Bakersdozendonuts,Fastfood
Juicyfruit,Supermarket_chain
Nationalconeyisland,Fastfood
Blenzcoffee1,Fastfood
Qingmei,Supermarket_chain
Kissan,Supermarket_chain
Shuanghui,Supermarket_chain
Casanoble,Supermarket_chain
Cotedor,Supermarket_chain
Pussers,Supermarket_chain
Cinnzeo,Fastfood
Chicagotown,Fastfood
Gattispizza,Fastfood
Hornitos,Supermarket_chain
Alete,Supermarket_chain
Chiffon,Supermarket_chain
Galaxycounters,Supermarket_chain
Tootyfooties,Supermarket_chain
Handisnacks,Fastfood
Batchelors,Fastfood
Crunchycornbran,Fastfood
Icebreakers,Supermarket_chain
Shengfeng,Supermarket_chain
Ciegomontero,Supermarket_chain
Walls,Supermarket_chain
Logansroadhouse,Fastfood
Rubiosfreshmexicangrill,Fastfood
Cafedumonde,Fastfood
Caferio,Fastfood
Lachoy,Supermarket_chain
Secondcup,Fastfood
Mrnoodles,Fastfood
Rickardswhite,Supermarket_chain
Carlsicecream,Fastfood
Yorkshiretea,Supermarket_chain
Makersmark,Supermarket_chain
Mallowoats,Supermarket_chain
Mccafe,Fastfood
Atlantabreadcompany,Fastfood
Cocacolazero,Supermarket_chain
Caprisun,Supermarket_chain
Punchcrunch,Supermarket_chain
Buondi,Fastfood
Lavazza,Fastfood
Gloriajeanscoffees,Fastfood
Margiescandies,Supermarket_chain
Hpsauce,Supermarket_chain
Aktavite,Supermarket_chain
Theoldspaghettifactory,Fastfood
Wildberryskittles,Supermarket_chain
Mueslix,Fastfood
Eggo,Supermarket_chain
Potbellysandwichworks,Fastfood
Nobleromans,Fastfood
Teekampagne,Fastfood
Fourseasicecream,Fastfood
Plancoet,Supermarket_chain
Arguscider,Supermarket_chain
Stadiummustard,Supermarket_chain
Nongshimltd,Supermarket_chain
Honeystars,Supermarket_chain
Kolashaler,Supermarket_chain
Cheeseflavouredmoments,Supermarket_chain
Amora,Supermarket_chain
Caramac,Supermarket_chain
Maggianoslittleitaly,Fastfood
Bestfoods,Supermarket_chain
Raisinets,Supermarket_chain
Futurelifesmartfood,Supermarket_chain
Intelligentsiacoffeetea,Fastfood
Larosaspizzeria,Fastfood
Mariospizzeria,Fastfood
Gladwrap,Supermarket_chain
Kwalitywalls,Supermarket_chain
Stolichnaya,Supermarket_chain
Whiteysicecream,Fastfood
42below,Supermarket_chain
Redlobster,Fastfood
Angieskettle,Supermarket_chain
Bucadibeppo,Fastfood
Mellowbirds,Supermarket_chain
Turunsinappi,Supermarket_chain
Carlingcider,Supermarket_chain
Benihana,Fastfood
Cinnamonburstcheerios,Fastfood
10cane,Supermarket_chain
Ginsters,Fastfood
Goodhumor,Fastfood
Chicza,Supermarket_chain
Bigbabol,Supermarket_chain
Toblerone,Supermarket_chain
